Candidate: H2CA13099, Total: 6000.0, Minimum: 1000.0, Maximum: 5000.0, Mean: 3000.00, Median: 3000.0, Standard Deviation: 2000.00, Z-score: -0.09699665971753109
Candidate: H0FL12119, Total: -1000.0, Minimum: -1000.0, Maximum: -1000.0, Mean: -1000.00, Median: -1000.0, Standard Deviation: 0.00, Z-score: -0.09764881583455914
Candidate: H4WV03047, Total: 439485.0, Minimum: 0.0, Maximum: 99674.0, Mean: 2872.45, Median: 1000.0, Standard Deviation: 11211.01, Z-score: -0.056610960518972825
Candidate: H2TX19064, Total: 11397.0, Minimum: 250.0, Maximum: 8800.0, Mean: 1899.50, Median: 618.0, Standard Deviation: 3092.82, Z-score: -0.09649384735130245
Candidate: H2MD06187, Total: 10000.0, Minimum: 2500.0, Maximum: 5000.0, Mean: 3333.33, Median: 2500.0, Standard Deviation: 1178.51, Z-score: -0.09662399907922933
Candidate: H2NV00050, Total: 21001.0, Minimum: 1.0, Maximum: 5000.0, Mean: 1615.46, Median: 1000.0, Standard Deviation: 1508.28, Z-score: -0.09559908915873995
Candidate: H6MI15127, Total: 6000.0, Minimum: 1000.0, Maximum: 4000.0, Mean: 2000.00, Median: 1000.0, Standard Deviation: 1414.21, Z-score: -0.09699665971753109
Candidate: H6NY03031, Total: 2709551.0, Minimum: -1000.0, Maximum: 441941.0, Mean: 3827.05, Median: 1000.0, Standard Deviation: 26971.05, Z-score: 0.1548801006178009
Candidate: H6FL19038, Total: -2500.0, Minimum: -1000.0, Maximum: -500.0, Mean: -833.33, Median: -1000.0, Standard Deviation: 235.70, Z-score: -0.09778856357392228
Candidate: H8C006138, Total: 1600.0, Minimum: 1600.0, Maximum: 1600.0, Mean: 1600.00, Median: 1600.0, Standard Deviation: 0.00, Z-score: -0.097406586419663
Candidate: H2NM01102, Total: 123213.0, Minimum: -1000.0, Maximum: 25000.0, Mean: 1665.04, Median: 471.0, Standard Deviation: 3693.36, Z-score: -0.0860764918682154
Candidate: H6FL08213, Total: 241402.0, Minimum: -500.0, Maximum: 13883.0, Mean: 2117.56, Median: 1000.0, Standard Deviation: 2221.44, Z-score: -0.0750653948231541
Candidate: H0PA18055, Total: 0.0, Minimum: -1000.0, Maximum: 1000.0, Mean: 0.00, Median: 0.0, Standard Deviation: 1000.00, Z-score: -0.0975556506749837
Candidate: S2MO00429, Total: 9799887.0, Minimum: -5000.0, Maximum: 996059.0, Mean: 6626.02, Median: 53.0, Standard Deviation: 55847.46, Z-score: 0.8154523855012659
Candidate: H8CA37137, Total: 318808.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1275.23, Median: 1000.0, Standard Deviation: 1436.05, Z-score: -0.06785385248105782
Candidate: H6FL22040, Total: -8000.0, Minimum: -5000.0, Maximum: -1000.0, Mean: -2000.00, Median: -1000.0, Standard Deviation: 1732.05, Z-score: -0.09830097195158718
Candidate: H2OH13033, Total: 2500.0, Minimum: 2500.0, Maximum: 2500.0, Mean: 2500.00, Median: 2500.0, Standard Deviation: 0.00, Z-score: -0.09732273777604511
Candidate: H0MO04086, Total: 621692.0, Minimum: -5000.0, Maximum: 46962.0, Mean: 1459.37, Median: 1000.0, Standard Deviation: 2591.73, Z-score: -0.039635616288211196
Candidate: H2OR01125, Total: 33500.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 2093.75, Median: 1750.0, Standard Deviation: 3231.77, Z-score: -0.09443461782920656
Candidate: H6HI01121, Total: -5000.0, Minimum: -5000.0, Maximum: -5000.0, Mean: -5000.00, Median: -5000.0, Standard Deviation: 0.00, Z-score: -0.09802147647286087
Candidate: S6MD03177, Total: 2042442.0, Minimum: -5000.0, Maximum: 7318.0, Mean: 1836.73, Median: 1058.5, Standard Deviation: 1367.94, Z-score: 0.09272878417859076
Candidate: H2FL06133, Total: 98519.0, Minimum: 100.0, Maximum: 47525.0, Mean: 8956.27, Median: 1500.0, Standard Deviation: 14956.60, Z-score: -0.08837711231877124
Candidate: P20003281, Total: 4410457.0, Minimum: -2500.0, Maximum: 471800.0, Mean: 27225.04, Median: 2500.0, Standard Deviation: 75468.39, Z-score: 0.31334527953061897
Candidate: H8IL21021, Total: 220142.0, Minimum: -5000.0, Maximum: 23000.0, Mean: 1719.86, Median: 1000.0, Standard Deviation: 2859.06, Z-score: -0.07704608611572787
Candidate: H6NY04112, Total: 828361.0, Minimum: -5000.0, Maximum: 8733.0, Mean: 1637.08, Median: 1000.0, Standard Deviation: 1331.44, Z-score: -0.020381265923915228
Candidate: H8CA41063, Total: 2493436.0, Minimum: -5000.0, Maximum: 480000.0, Mean: 5528.68, Median: 1000.0, Standard Deviation: 34623.37, Z-score: 0.13474571215615536
Candidate: P60003795, Total: 3472.0, Minimum: 3472.0, Maximum: 3472.0, Mean: 3472.00, Median: 3472.0, Standard Deviation: 0.00, Z-score: -0.09723218124093778
Candidate: H0IL14080, Total: 620071.0, Minimum: -4000.0, Maximum: 6109.0, Mean: 1462.43, Median: 1000.0, Standard Deviation: 1119.79, Z-score: -0.03978663701188298
Candidate: H2PA04143, Total: 5939.0, Minimum: 131.0, Maximum: 2500.0, Mean: 848.43, Median: 263.0, Standard Deviation: 877.39, Z-score: -0.09700234279226519
Candidate: H2MA00014, Total: 2706407.0, Minimum: 4.0, Maximum: 500000.0, Mean: 12766.07, Median: 2000.0, Standard Deviation: 51619.75, Z-score: 0.15458718935609572
Candidate: H2CT04068, Total: 123988.0, Minimum: 100.0, Maximum: 66942.0, Mean: 5635.82, Median: 2000.0, Standard Deviation: 13512.05, Z-score: -0.08600428886954443
Candidate: H2CA26026, Total: 2595042.0, Minimum: -5000.0, Maximum: 180527.0, Mean: 4684.19, Median: 1577.5, Standard Deviation: 14532.07, Z-score: 0.1442118513599772
Candidate: H6MD04183, Total: 435087.0, Minimum: -2500.0, Maximum: 5000.0, Mean: 1515.98, Median: 1000.0, Standard Deviation: 1280.88, Z-score: -0.0570207008907856
Candidate: H2MO02110, Total: 5000.0, Minimum: -2500.0, Maximum: 2500.0, Mean: 1250.00, Median: 2500.0, Standard Deviation: 2165.06, Z-score: -0.09708982487710652
Candidate: H2TX06111, Total: 1000.0, Minimum: 1000.0, Maximum: 1000.0, Mean: 1000.00, Median: 1000.0, Standard Deviation: 0.00, Z-score: -0.09746248551540827
Candidate: H2NY12023, Total: 1000.0, Minimum: -3000.0, Maximum: 3000.0, Mean: 333.33, Median: 1000.0, Standard Deviation: 2494.44, Z-score: -0.09746248551540827
Candidate: H2TX36043, Total: 35133.0, Minimum: -1000.0, Maximum: 5000.0, Mean: 1673.00, Median: 1000.0, Standard Deviation: 1577.22, Z-score: -0.09428247912361988
Candidate: H2MI04237, Total: 5533.0, Minimum: 533.0, Maximum: 4000.0, Mean: 1844.33, Median: 1000.0, Standard Deviation: 1536.16, Z-score: -0.09704016784705281
Candidate: S0ND00069, Total: 14000.0, Minimum: 2000.0, Maximum: 5000.0, Mean: 3500.00, Median: 3500.0, Standard Deviation: 1500.00, Z-score: -0.09625133844092759
Candidate: H0IN09070, Total: 402393.0, Minimum: -2000.0, Maximum: 17145.0, Mean: 1622.55, Median: 1000.0, Standard Deviation: 1808.70, Z-score: -0.06006664261794493
Candidate: H8NM01257, Total: 695625.0, Minimum: -500.0, Maximum: 27000.0, Mean: 2625.00, Median: 2000.0, Standard Deviation: 2947.72, Z-score: -0.03274763654532042
Candidate: H0IL05096, Total: 349425.0, Minimum: -2500.0, Maximum: 5000.0, Mean: 1468.17, Median: 1000.0, Standard Deviation: 1097.84, Z-score: -0.06500141479033666
Candidate: H2CA37262, Total: 32250.0, Minimum: 500.0, Maximum: 5000.0, Mean: 1791.67, Median: 1000.0, Standard Deviation: 1286.28, Z-score: -0.09455107427867586
Candidate: S6OH00155, Total: -2500.0, Minimum: -2500.0, Maximum: -2500.0, Mean: -2500.00, Median: -2500.0, Standard Deviation: 0.00, Z-score: -0.09778856357392228
Candidate: H2NY02081, Total: 1450.0, Minimum: 450.0, Maximum: 1000.0, Mean: 725.00, Median: 725.0, Standard Deviation: 275.00, Z-score: -0.09742056119359932
Candidate: H4CA16049, Total: 409450.0, Minimum: -3000.0, Maximum: 5000.0, Mean: 1472.84, Median: 1000.0, Standard Deviation: 1175.83, Z-score: -0.05940917608682107
Candidate: H4AZ01038, Total: 425578.0, Minimum: -2500.0, Maximum: 19995.0, Mean: 1943.28, Median: 1000.0, Standard Deviation: 2099.98, Z-score: -0.057906608393188425
Candidate: H2NM02175, Total: 6499.0, Minimum: 10.0, Maximum: 2500.0, Mean: 1083.17, Median: 944.0, Standard Deviation: 913.72, Z-score: -0.09695017030290294
Candidate: H0NY23057, Total: 1866779.0, Minimum: 22.0, Maximum: 300000.0, Mean: 16092.92, Median: 1912.5, Standard Deviation: 46074.11, Z-score: 0.07636311275209079
Candidate: H4AZ04024, Total: 195200.0, Minimum: -1500.0, Maximum: 5000.0, Mean: 1355.56, Median: 1000.0, Standard Deviation: 1045.85, Z-score: -0.07936981152585842
Candidate: H8WI00018, Total: 60251.0, Minimum: 12.0, Maximum: 5000.0, Mean: 2077.62, Median: 1537.0, Standard Deviation: 1768.36, Z-score: -0.09194235664540405
Candidate: H6KS03183, Total: 2500.0, Minimum: 500.0, Maximum: 1000.0, Mean: 625.00, Median: 500.0, Standard Deviation: 216.51, Z-score: -0.09732273777604511
Candidate: H2CT01163, Total: 2350.0, Minimum: 100.0, Maximum: 2000.0, Mean: 783.33, Median: 250.0, Standard Deviation: 862.49, Z-score: -0.09733671254998143
Candidate: H2FL14053, Total: 853298.0, Minimum: -1000.0, Maximum: 204945.0, Mean: 3792.44, Median: 1000.0, Standard Deviation: 15529.54, Z-score: -0.01805800633958256
Candidate: S2TX00262, Total: 8975.0, Minimum: 375.0, Maximum: 5000.0, Mean: 2243.75, Median: 1800.0, Standard Deviation: 1786.26, Z-score: -0.09671949336779416
Candidate: H4RI01034, Total: -2000.0, Minimum: -1000.0, Maximum: -1000.0, Mean: -1000.00, Median: -1000.0, Standard Deviation: 0.00, Z-score: -0.09774198099413457
Candidate: H4NH02068, Total: 165753.0, Minimum: 165753.0, Maximum: 165753.0, Mean: 165753.00, Median: 165753.0, Standard Deviation: 0.00, Z-score: -0.08211324597987632
Candidate: H2NJ10154, Total: 296185.0, Minimum: -5000.0, Maximum: 6749.0, Mean: 2042.66, Median: 1500.0, Standard Deviation: 1670.91, Z-score: -0.06996152788613293
Candidate: H2CA00120, Total: 2986543.0, Minimum: -2500.0, Maximum: 500000.0, Mean: 8758.19, Median: 2000.0, Standard Deviation: 40646.18, Z-score: 0.1806861044989203
Candidate: H2GA02031, Total: 804548.0, Minimum: -1000.0, Maximum: 5000.0, Mean: 1523.77, Median: 1000.0, Standard Deviation: 1077.53, Z-score: -0.02259980786888511
Candidate: H6HI01113, Total: 217049.0, Minimum: -2500.0, Maximum: 21125.0, Mean: 2359.23, Median: 1000.0, Standard Deviation: 2963.44, Z-score: -0.07733424595429471
Candidate: S4SC00083, Total: 168010.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1647.16, Median: 1500.0, Standard Deviation: 1261.27, Z-score: -0.08190297221471456
Candidate: H4NY11138, Total: 380323.0, Minimum: -5000.0, Maximum: 10503.0, Mean: 1474.12, Median: 1000.0, Standard Deviation: 1402.05, Z-score: -0.06212279768977482
Candidate: S2AZ00141, Total: 14542043.0, Minimum: -12765.0, Maximum: 1199534.0, Mean: 16193.81, Median: 2500.0, Standard Deviation: 76542.78, Z-score: 1.2572561059728813
Candidate: H6WI08106, Total: 914301.0, Minimum: -5000.0, Maximum: 132200.0, Mean: 4712.89, Median: 1238.0, Standard Deviation: 13956.56, Z-score: -0.012374652110002183
Candidate: S8NY00082, Total: 229010.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1721.88, Median: 1000.0, Standard Deviation: 2086.65, Z-score: -0.0762198974806129
Candidate: H2WA06145, Total: 75427.0, Minimum: 28.0, Maximum: 5000.0, Mean: 2095.19, Median: 2000.0, Standard Deviation: 1488.56, Z-score: -0.09052848218368723
Candidate: H2FL01100, Total: 371479.0, Minimum: -2000.0, Maximum: 5000.0, Mean: 1608.13, Median: 1000.0, Standard Deviation: 1372.51, Z-score: -0.06294675036105998
Candidate: H2NC01198, Total: 28.0, Minimum: 28.0, Maximum: 28.0, Mean: 28.00, Median: 28.0, Standard Deviation: 0.00, Z-score: -0.0975530420505156
Candidate: H2CT05131, Total: 1948203.0, Minimum: 7.0, Maximum: 1099998.0, Mean: 9277.16, Median: 1386.0, Standard Deviation: 77717.20, Z-score: 0.08394899270536116
Candidate: H2CA08156, Total: 46745.0, Minimum: 307.0, Maximum: 23115.0, Mean: 4249.55, Median: 2012.0, Standard Deviation: 6250.22, Z-score: -0.09320064529062991
Candidate: H2WA09107, Total: 1403.0, Minimum: 200.0, Maximum: 300.0, Mean: 233.83, Median: 201.5, Standard Deviation: 46.80, Z-score: -0.09742493995609937
Candidate: H2IL15034, Total: 1000.0, Minimum: 1000.0, Maximum: 1000.0, Mean: 1000.00, Median: 1000.0, Standard Deviation: 0.00, Z-score: -0.09746248551540827
Candidate: H0FL15054, Total: 2500.0, Minimum: 2500.0, Maximum: 2500.0, Mean: 2500.00, Median: 2500.0, Standard Deviation: 0.00, Z-score: -0.09732273777604511
Candidate: H2OK01150, Total: 16100.0, Minimum: 100.0, Maximum: 5000.0, Mean: 1610.00, Median: 1000.0, Standard Deviation: 1326.24, Z-score: -0.09605569160581917
Candidate: P60003654, Total: 32533760.0, Minimum: -2000.0, Maximum: 4939680.0, Mean: 39772.32, Median: 2439.0, Standard Deviation: 226751.55, Z-score: 2.9334572913139816
Candidate: H4PA13124, Total: 1184117.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1606.67, Median: 1000.0, Standard Deviation: 1247.77, Z-score: 0.012762798586003895
Candidate: H2TX35078, Total: 250.0, Minimum: 250.0, Maximum: 250.0, Mean: 250.00, Median: 250.0, Standard Deviation: 0.00, Z-score: -0.09753235938508985
